Titulo,Comuna,Precio_CLP,Area_m2,Dormitorios,Baños,Estacionamientos,Precio_por_m2,Tamaño
ArriendoDepartamentoSantiagoCentroCod.2308,Santiago,,,1.0,1.0,0,,Sin dato
DUEÑOARRIENDAEXCELENTEDEPTOCENTROA2CUADRASMETROBELLASARTESPRECIOSAVISTA,Santiago,,,1.0,1.0,0,,Sin dato
Depto.2D/2B/E/BODapasosdelmetroLoVial,San Miguel,,,2.0,2.0,1,,Sin dato
"ArriendoDepto1DFullEquipado–MetroLoOvalle,LaCisterna",La Cisterna,,,1.0,1.0,0,,Sin dato
DEPARTAMENTOMetroLoVial,San Miguel,,38.0,1.0,1.0,0,,Pequeño (35-54m2)
"Departamentoencuartopiso,unahabitación,ComunadelaCisterna",La Cisterna,275000.0,,1.0,1.0,0,,Sin dato
DEPARTAMENTOCarmen110,Santiago,,,1.0,1.0,0,,Sin dato
DEPARTAMENTOObispoUmaña030,Estación Central,300000.0,55.0,3.0,2.0,0,5455.0,Mediano (55-74m2)
Arriendodepartamento,Estación Central,,35.0,1.0,1.0,0,,Pequeño (35-54m2)
OFERTAARRIENDODPTO2HAB+2BAÑ+EST+BOINDEPENDENC,Independencia,480000.0,,2.0,2.0,1,,Sin dato
Arriendodepartamentointerior;excelentescondiciones,Maipú,,,1.0,1.0,0,,Sin dato
Depto1d1bestacióncentral,Estación Central,,,1.0,1.0,0,,Sin dato
ARRIENDODEPTO.2DORM.+1BAÑO.METROSANALBERTOHURTADO,Estación Central,280000.0,,2.0,1.0,0,,Sin dato
ArriendoDepto.1dormitorio/SINAVAL/50%DCTO/Garantíaenpartes/UniversidaddeSantiago,Estación Central,250000.0,,1.0,1.0,0,,Sin dato
Depto2Destilomariposa/50%DCTO/1MESGRATISGC/Garantíaenpartes/Renca,Renca,320000.0,46.0,2.0,2.0,0,6957.0,Pequeño (35-54m2)
Luminosodepartamentoremodelado2D/1BenSanDiego,Santiago,,41.0,2.0,1.0,0,,Pequeño (35-54m2)
DepartamentoCALLEZENTENO1490COMUNADESANTIAGO,Santiago,,48.0,2.0,1.0,0,,Pequeño (35-54m2)
SINCOMISION-HipodromoChile/MetroPlazaChacabuco/AvIndependencia,Independencia,300000.0,40.0,2.0,1.0,0,7500.0,Pequeño (35-54m2)
ArriendoMetroSanAlbertoHurtado2D2B1E(98273),Estación Central,,,2.0,2.0,1,,Sin dato
ArriendoDepto.1D/1B,Estación Central,,33.0,1.0,1.0,0,,Studio / Mini (<35m2)
SanDiego/Victoria/Santiago,Santiago,,30.0,1.0,1.0,0,,Studio / Mini (<35m2)
